S no,Date,Region,Cumulative  tests performed,Cumulative  Test positive,Tests  performed in last 24 hours,Still admitted,Discharged,Expired,Home Quarantine,New  (last 24 hrs),Expired status
323,43966,Balochistan,16601,2310,850,31,342,30,1907,345,Dangerour
324,43966,GB,6027,501,279,17,339,4,141,177,Normal
325,43966,ICT,23409,866,2152,25,100,7,734,1122,Normal
326,43966,KP,35905,5423,3328,547,1505,284,3087,1553,Dangerour
327,43966,Punjab,151247,13914,11035,6180,4720,234,2780,5209,Dangerour
328,43966,Sindh,107830,14099,8713,1476,3073,243,9307,4487,Dangerour
329,43967,AJK,3572,108,327,31,76,1,0,161,Normal
330,43967,Balochistan,17078,2457,1016,32,383,31,2011,354,Dangerour
331,43967,GB,6173,518,289,24,345,4,145,87,Normal
332,43967,ICT,24367,921,2080,30,100,7,784,958,Normal
333,43967,KP,37452,5678,3100,522,1613,291,3252,1637,Dangerour
334,43967,Punjab,157226,14201,11649,6418,4757,245,2781,6055,Dangerour
335,43967,Sindh,113396,14916,10053,1404,3606,255,9651,5566,Dangerour
336,43968,AJK,3758,112,347,34,77,1,0,186,Normal
337,43968,Balochistan,17663,2544,1062,32,417,36,2059,18,Dangerour
338,43968,GB,6356,527,329,21,348,4,154,148,Normal
339,43968,ICT,25385,947,1976,22,113,7,805,1018,Normal
340,43968,KP,38992,5847,3087,374,1699,305,3469,1470,Dangerour
341,43968,Punjab,163466,14584,12219,6617,4883,252,2832,5918,Dangerour
342,43968,Sindh,117860,15590,10030,1265,3804,268,10253,4464,Dangerour
343,43969,AJK,3947,112,375,34,77,1,0,189,Normal
344,43969,Balochistan,18021,2692,943,26,454,36,2176,174,Dangerour
345,43969,GB,6517,540,344,26,368,4,142,121,Normal
346,43969,ICT,26606,997,2239,31,113,7,846,1221,Normal
347,43969,KP,40410,6061,2958,520,1783,318,3440,1408,Dangerour
348,43969,Punjab,168940,15346,11714,7388,4918,260,2780,4353,Dangerour
349,43969,Sindh,122894,16337,9498,1406,4209,277,10445,5034,Dangerour
350,43970,AJK,4090,115,332,37,77,1,0,143,Normal
351,43970,Balochistan,18438,2820,775,34,524,38,2224,228,Dangerour
352,43970,GB,6636,550,280,22,368,4,156,56,Normal
353,43970,ICT,27425,1034,2040,22,113,9,890,819,Normal
354,43970,KP,41825,6230,2833,478,1944,334,3474,1400,Dangerour
355,43970,Punjab,174305,15976,10839,7949,4974,273,2780,5757,Dangerour
356,43970,Sindh,127573,17241,9713,1377,4489,280,11095,4679,Dangerour
357,43971,AJK,4242,133,295,55,77,1,0,152,Normal
358,43971,Balochistan,19003,2885,982,39,608,38,2200,352,Dangerour
359,43971,GB,6731,556,214,20,390,4,142,86,Normal
360,43971,ICT,29033,1138,2427,30,151,9,948,1608,Normal
361,43971,KP,43329,6554,2919,512,2058,345,3639,1400,Dangerour
362,43971,Punjab,180540,16685,11600,8538,5076,289,2782,7058,Dangerour
363,43971,Sindh,131376,17947,8482,1534,4741,299,11373,3803,Dangerour
364,43972,AJK,4470,148,380,68,79,1,0,228,Normal
